club_name,league,country
Újpest FC,Nemzeti Bajnokság,Hungary
Kisvárda FC,Nemzeti Bajnokság,Hungary
Zalaegerszegi TE FC,Nemzeti Bajnokság,Hungary
Paksi FC,Nemzeti Bajnokság,Hungary
Kaposvári Rákóczi FC,Nemzeti Bajnokság,Hungary
Videoton FC Fehérvár,Nemzeti Bajnokság,Hungary
MTK Budapest,Nemzeti Bajnokság,Hungary
Budafoki MTE,Nemzeti Bajnokság,Hungary
Gyirmót FC Győr,Nemzeti Bajnokság,Hungary
Fehérvár FC,Nemzeti Bajnokság,Hungary
Kecskeméti TE,Nemzeti Bajnokság,Hungary
Vasas FC,Nemzeti Bajnokság,Hungary
ETO FC Győr,Nemzeti Bajnokság,Hungary
Nyíregyháza Spartacus,Nemzeti Bajnokság,Hungary
FCSB,Liga I,Romania
CFR Cluj,Liga I,Romania
CS Universitatea Craiova,Liga I,Romania
FC Viitorul Constanta,Liga I,Romania
Astra Giurgiu (- 2024),Liga I,Romania
FC Dinamo 1948,Liga I,Romania
FC Botosani,Liga I,Romania
FC Voluntari,Liga I,Romania
ACSM Politehnica Iasi,Liga I,Romania
Gaz Metan Medias (- 2022),Liga I,Romania
Sepsi OSK Sf. Gheorghe,Liga I,Romania
FC Hermannstadt,Liga I,Romania
AFC Chindia Targoviste,Liga I,Romania
Academica Clinceni,Liga I,Romania
UTA Arad,Liga I,Romania
ACSC FC Arges,Liga I,Romania
FCV Farul Constanta,Liga I,Romania
FC Rapid 1923,Liga I,Romania
FC U Craiova 1948,Liga I,Romania
CS Mioveni,Liga I,Romania
FC Universitatea Cluj,Liga I,Romania
Petrolul Ploiesti,Liga I,Romania
SC Otelul Galati,Liga I,Romania
ASFC Buzau (2016-2025),Liga I,Romania
AFC Unirea 04 Slobozia,Liga I,Romania
Olympiacos Piraeus,Super League Greece,Greece
PAOK Thessaloniki,Super League Greece,Greece
AEK Athens,Super League Greece,Greece
Panathinaikos,Super League Greece,Greece
AE Larisa,Super League Greece,Greece
Atromitos Athens,Super League Greece,Greece
Aris Thessaloniki,Super League Greece,Greece
Asteras Tripolis,Super League Greece,Greece
OFI Crete,Super League Greece,Greece
AO Xanthi,Super League Greece,Greece
Panetolikos,Super League Greece,Greece
Volos NFC,Super League Greece,Greece
PAS Lamia 1964,Super League Greece,Greece
Panionios FC,Super League Greece,Greece
PAS Giannina,Super League Greece,Greece
Apollon Smyrnis,Super League Greece,Greece
Ionikos Nikeas,Super League Greece,Greece
Levadiakos,Super League Greece,Greece
Panserraikos,Super League Greece,Greece
AE Kifisia,Super League Greece,Greece
Asteras Aktor,Super League Greece,Greece
Athens Kallithea,Super League Greece,Greece
