club_name,league,season,squad_value_m
Real Madrid,La Liga,2020/2021,787.3
Atlético de Madrid,La Liga,2020/2021,773.1
Sevilla FC,La Liga,2020/2021,418.25
Real Sociedad,La Liga,2020/2021,406.6
Villarreal CF,La Liga,2020/2021,292.6
Valencia CF,La Liga,2020/2021,278.85
Real Betis Balompié,La Liga,2020/2021,207.7
Athletic Bilbao,La Liga,2020/2021,204.15
Getafe CF,La Liga,2020/2021,170.1
Celta de Vigo,La Liga,2020/2021,155.85
Granada CF,La Liga,2020/2021,122.65
Levante UD,La Liga,2020/2021,113.0
CA Osasuna,La Liga,2020/2021,96.75
SD Eibar,La Liga,2020/2021,83.4
Deportivo Alavés,La Liga,2020/2021,79.8
SD Huesca,La Liga,2020/2021,64.1
Real Valladolid CF,La Liga,2020/2021,63.35
Cádiz CF,La Liga,2020/2021,47.65
Elche CF,La Liga,2020/2021,45.65
Real Madrid,La Liga,2021/2022,770.75
FC Barcelona,La Liga,2021/2022,735.6
Atlético de Madrid,La Liga,2021/2022,661.8
Villarreal CF,La Liga,2021/2022,408.9
Sevilla FC,La Liga,2021/2022,385.0
Real Sociedad,La Liga,2021/2022,376.95
Valencia CF,La Liga,2021/2022,310.6
Real Betis Balompié,La Liga,2021/2022,259.0
Athletic Bilbao,La Liga,2021/2022,226.05
Getafe CF,La Liga,2021/2022,208.68
RCD Espanyol Barcelona,La Liga,2021/2022,131.6
Celta de Vigo,La Liga,2021/2022,120.0
CA Osasuna,La Liga,2021/2022,108.45
Granada CF,La Liga,2021/2022,103.75
Levante UD,La Liga,2021/2022,77.9
RCD Mallorca,La Liga,2021/2022,74.15
Elche CF,La Liga,2021/2022,72.98
Cádiz CF,La Liga,2021/2022,67.8
Rayo Vallecano,La Liga,2021/2022,67.2
Deportivo Alavés,La Liga,2021/2022,65.35
Real Madrid,La Liga,2022/2023,923.45
FC Barcelona,La Liga,2022/2023,836.8
Atlético de Madrid,La Liga,2022/2023,534.3
Real Sociedad,La Liga,2022/2023,441.7
Villarreal CF,La Liga,2022/2023,363.5
Valencia CF,La Liga,2022/2023,249.78
Real Betis Balompié,La Liga,2022/2023,246.4
Sevilla FC,La Liga,2022/2023,232.58
Athletic Bilbao,La Liga,2022/2023,222.45
CA Osasuna,La Liga,2022/2023,150.05
Girona FC,La Liga,2022/2023,139.9
Celta de Vigo,La Liga,2022/2023,138.8
Getafe CF,La Liga,2022/2023,118.9
RCD Espanyol Barcelona,La Liga,2022/2023,116.5
UD Almería,La Liga,2022/2023,114.2
RCD Mallorca,La Liga,2022/2023,107.0
Rayo Vallecano,La Liga,2022/2023,103.4
Real Valladolid CF,La Liga,2022/2023,90.75
Elche CF,La Liga,2022/2023,67.5
Cádiz CF,La Liga,2022/2023,65.6
Real Madrid,La Liga,2023/2024,1.14
FC Barcelona,La Liga,2023/2024,916.2
Real Sociedad,La Liga,2023/2024,498.5
Atlético de Madrid,La Liga,2023/2024,458.45
Girona FC,La Liga,2023/2024,297.9
Athletic Bilbao,La Liga,2023/2024,295.65
Villarreal CF,La Liga,2023/2024,252.5
Valencia CF,La Liga,2023/2024,244.73
Sevilla FC,La Liga,2023/2024,228.75
Real Betis Balompié,La Liga,2023/2024,224.88
Celta de Vigo,La Liga,2023/2024,149.3
Granada CF,La Liga,2023/2024,141.1
Getafe CF,La Liga,2023/2024,133.0
Deportivo Alavés,La Liga,2023/2024,123.7
UD Las Palmas,La Liga,2023/2024,112.4
CA Osasuna,La Liga,2023/2024,105.35
UD Almería,La Liga,2023/2024,99.4
RCD Mallorca,La Liga,2023/2024,87.7
Rayo Vallecano,La Liga,2023/2024,63.95
Cádiz CF,La Liga,2023/2024,60.7
Real Madrid,La Liga,2024/2025,1.35
FC Barcelona,La Liga,2024/2025,1.08
Atlético de Madrid,La Liga,2024/2025,542.5
Athletic Bilbao,La Liga,2024/2025,375.35
Real Sociedad,La Liga,2024/2025,345.05
Real Betis Balompié,La Liga,2024/2025,291.7
Villarreal CF,La Liga,2024/2025,264.25
Valencia CF,La Liga,2024/2025,215.55
Sevilla FC,La Liga,2024/2025,183.9
Girona FC,La Liga,2024/2025,153.1
Celta de Vigo,La Liga,2024/2025,130.9
UD Las Palmas,La Liga,2024/2025,117.3
RCD Espanyol Barcelona,La Liga,2024/2025,116.98
CA Osasuna,La Liga,2024/2025,113.28
Deportivo Alavés,La Liga,2024/2025,92.35
Getafe CF,La Liga,2024/2025,87.7
RCD Mallorca,La Liga,2024/2025,84.88
Real Valladolid CF,La Liga,2024/2025,81.45
Rayo Vallecano,La Liga,2024/2025,68.0
CD Leganés,La Liga,2024/2025,47.98
Bayern Munich,Bundesliga,2019/2020,777.33
Borussia Dortmund,Bundesliga,2019/2020,654.05
RB Leipzig,Bundesliga,2019/2020,570.48
Bayer 04 Leverkusen,Bundesliga,2019/2020,398.95
Borussia Mönchengladbach,Bundesliga,2019/2020,254.7
TSG 1899 Hoffenheim,Bundesliga,2019/2020,226.05
FC Schalke 04,Bundesliga,2019/2020,221.58
Hertha BSC,Bundesliga,2019/2020,217.2
Eintracht Frankfurt,Bundesliga,2019/2020,208.98
VfL Wolfsburg,Bundesliga,2019/2020,207.6
SV Werder Bremen,Bundesliga,2019/2020,135.13
SC Freiburg,Bundesliga,2019/2020,122.65
1.FSV Mainz 05,Bundesliga,2019/2020,121.58
FC Augsburg,Bundesliga,2019/2020,112.95
1.FC Köln,Bundesliga,2019/2020,98.48
Fortuna Düsseldorf,Bundesliga,2019/2020,71.78
1.FC Union Berlin,Bundesliga,2019/2020,41.2
SC Paderborn 07,Bundesliga,2019/2020,28.9
Bayern Munich,Bundesliga,2020/2021,858.23
Borussia Dortmund,Bundesliga,2020/2021,628.4
RB Leipzig,Bundesliga,2020/2021,574.95
Bayer 04 Leverkusen,Bundesliga,2020/2021,373.25
Borussia Mönchengladbach,Bundesliga,2020/2021,300.75
Eintracht Frankfurt,Bundesliga,2020/2021,269.15
VfL Wolfsburg,Bundesliga,2020/2021,256.83
Hertha BSC,Bundesliga,2020/2021,228.88
TSG 1899 Hoffenheim,Bundesliga,2020/2021,228.15
VfB Stuttgart,Bundesliga,2020/2021,189.25
1.FSV Mainz 05,Bundesliga,2020/2021,163.3
SC Freiburg,Bundesliga,2020/2021,139.1
FC Schalke 04,Bundesliga,2020/2021,123.05
1.FC Köln,Bundesliga,2020/2021,118.2
SV Werder Bremen,Bundesliga,2020/2021,111.98
FC Augsburg,Bundesliga,2020/2021,93.05
1.FC Union Berlin,Bundesliga,2020/2021,82.05
Arminia Bielefeld,Bundesliga,2020/2021,56.73
Bayern Munich,Bundesliga,2021/2022,790.33
Borussia Dortmund,Bundesliga,2021/2022,558.98
RB Leipzig,Bundesliga,2021/2022,498.95
Bayer 04 Leverkusen,Bundesliga,2021/2022,455.05
VfL Wolfsburg,Bundesliga,2021/2022,269.3
Borussia Mönchengladbach,Bundesliga,2021/2022,236.8
Eintracht Frankfurt,Bundesliga,2021/2022,228.75
TSG 1899 Hoffenheim,Bundesliga,2021/2022,211.43
SC Freiburg,Bundesliga,2021/2022,176.35
VfB Stuttgart,Bundesliga,2021/2022,174.23
Hertha BSC,Bundesliga,2021/2022,155.78
1.FSV Mainz 05,Bundesliga,2021/2022,131.03
1.FC Union Berlin,Bundesliga,2021/2022,115.9
1.FC Köln,Bundesliga,2021/2022,99.28
FC Augsburg,Bundesliga,2021/2022,95.3
Arminia Bielefeld,Bundesliga,2021/2022,65.85
VfL Bochum,Bundesliga,2021/2022,52.25
SpVgg Greuther Fürth,Bundesliga,2021/2022,36.95
Bayern Munich,Bundesliga,2022/2023,948.95
Borussia Dortmund,Bundesliga,2022/2023,567.55
RB Leipzig,Bundesliga,2022/2023,486.4
Bayer 04 Leverkusen,Bundesliga,2022/2023,452.5
Eintracht Frankfurt,Bundesliga,2022/2023,324.55
Borussia Mönchengladbach,Bundesliga,2022/2023,241.68
VfL Wolfsburg,Bundesliga,2022/2023,238.3
SC Freiburg,Bundesliga,2022/2023,200.95
TSG 1899 Hoffenheim,Bundesliga,2022/2023,178.8
1.FC Union Berlin,Bundesliga,2022/2023,157.95
VfB Stuttgart,Bundesliga,2022/2023,151.05
1.FSV Mainz 05,Bundesliga,2022/2023,135.9
FC Augsburg,Bundesliga,2022/2023,132.23
1.FC Köln,Bundesliga,2022/2023,115.65
Hertha BSC,Bundesliga,2022/2023,94.0
SV Werder Bremen,Bundesliga,2022/2023,89.5
FC Schalke 04,Bundesliga,2022/2023,87.78
VfL Bochum,Bundesliga,2022/2023,53.7
Bayern Munich,Bundesliga,2023/2024,965.15
Bayer 04 Leverkusen,Bundesliga,2023/2024,658.35
RB Leipzig,Bundesliga,2023/2024,545.4
Borussia Dortmund,Bundesliga,2023/2024,494.8
VfB Stuttgart,Bundesliga,2023/2024,346.63
Eintracht Frankfurt,Bundesliga,2023/2024,326.65
VfL Wolfsburg,Bundesliga,2023/2024,206.45
SC Freiburg,Bundesliga,2023/2024,180.35
TSG 1899 Hoffenheim,Bundesliga,2023/2024,176.0
Borussia Mönchengladbach,Bundesliga,2023/2024,165.23
1.FC Union Berlin,Bundesliga,2023/2024,160.95
1.FSV Mainz 05,Bundesliga,2023/2024,142.88
FC Augsburg,Bundesliga,2023/2024,140.8
SV Werder Bremen,Bundesliga,2023/2024,134.93
1.FC Köln,Bundesliga,2023/2024,81.45
1.FC Heidenheim 1846,Bundesliga,2023/2024,66.45
VfL Bochum,Bundesliga,2023/2024,64.53
SV Darmstadt 98,Bundesliga,2023/2024,38.7
Bayern Munich,Bundesliga,2024/2025,953.55
Bayer 04 Leverkusen,Bundesliga,2024/2025,623.35
RB Leipzig,Bundesliga,2024/2025,513.7
Borussia Dortmund,Bundesliga,2024/2025,508.28
Eintracht Frankfurt,Bundesliga,2024/2025,431.25
VfB Stuttgart,Bundesliga,2024/2025,365.23
VfL Wolfsburg,Bundesliga,2024/2025,296.3
Borussia Mönchengladbach,Bundesliga,2024/2025,187.5
TSG 1899 Hoffenheim,Bundesliga,2024/2025,187.1
SC Freiburg,Bundesliga,2024/2025,186.2
1.FSV Mainz 05,Bundesliga,2024/2025,175.13
FC Augsburg,Bundesliga,2024/2025,158.88
1.FC Union Berlin,Bundesliga,2024/2025,136.05
SV Werder Bremen,Bundesliga,2024/2025,132.0
1.FC Heidenheim 1846,Bundesliga,2024/2025,72.53
FC St. Pauli,Bundesliga,2024/2025,65.78
VfL Bochum,Bundesliga,2024/2025,57.1
Holstein Kiel,Bundesliga,2024/2025,47.13
Juventus FC,Serie A,2019/2020,661.88
Inter Milan,Serie A,2019/2020,606.05
SSC Napoli,Serie A,2019/2020,548.28
AC Milan,Serie A,2019/2020,404.33
AS Roma,Serie A,2019/2020,392.73
SS Lazio,Serie A,2019/2020,303.88
ACF Fiorentina,Serie A,2019/2020,302.23
Atalanta BC,Serie A,2019/2020,291.43
US Sassuolo,Serie A,2019/2020,167.98
Cagliari Calcio,Serie A,2019/2020,167.83
Torino FC,Serie A,2019/2020,163.55
Genoa CFC,Serie A,2019/2020,142.38
UC Sampdoria,Serie A,2019/2020,135.28
Bologna FC 1909,Serie A,2019/2020,129.65
Parma Calcio 1913,Serie A,2019/2020,128.75
Udinese Calcio,Serie A,2019/2020,121.08
Hellas Verona,Serie A,2019/2020,112.53
Brescia Calcio (- 2025),Serie A,2019/2020,83.23
SPAL,Serie A,2019/2020,73.63
US Lecce,Serie A,2019/2020,52.33
Inter Milan,Serie A,2020/2021,663.9
Juventus FC,Serie A,2020/2021,633.3
AC Milan,Serie A,2020/2021,547.78
SSC Napoli,Serie A,2020/2021,530.2
Atalanta BC,Serie A,2020/2021,430.0
AS Roma,Serie A,2020/2021,395.65
SS Lazio,Serie A,2020/2021,326.33
ACF Fiorentina,Serie A,2020/2021,286.8
US Sassuolo,Serie A,2020/2021,241.74
Cagliari Calcio,Serie A,2020/2021,187.83
Torino FC,Serie A,2020/2021,175.28
Udinese Calcio,Serie A,2020/2021,173.0
Hellas Verona,Serie A,2020/2021,157.21
Bologna FC 1909,Serie A,2020/2021,153.6
Parma Calcio 1913,Serie A,2020/2021,128.7
UC Sampdoria,Serie A,2020/2021,127.18
Genoa CFC,Serie A,2020/2021,111.93
Spezia Calcio,Serie A,2020/2021,71.68
FC Crotone,Serie A,2020/2021,52.75
Benevento Calcio,Serie A,2020/2021,50.13
Juventus FC,Serie A,2021/2022,642.5
Inter Milan,Serie A,2021/2022,558.55
AC Milan,Serie A,2021/2022,546.95
SSC Napoli,Serie A,2021/2022,477.23
Atalanta BC,Serie A,2021/2022,398.75
AS Roma,Serie A,2021/2022,381.25
ACF Fiorentina,Serie A,2021/2022,325.8
SS Lazio,Serie A,2021/2022,264.53
US Sassuolo,Serie A,2021/2022,251.0
Torino FC,Serie A,2021/2022,223.4
Bologna FC 1909,Serie A,2021/2022,186.2
Hellas Verona,Serie A,2021/2022,162.98
Udinese Calcio,Serie A,2021/2022,142.3
Cagliari Calcio,Serie A,2021/2022,134.53
UC Sampdoria,Serie A,2021/2022,128.55
FC Empoli,Serie A,2021/2022,126.5
Genoa CFC,Serie A,2021/2022,121.28
Venezia FC,Serie A,2021/2022,80.98
Spezia Calcio,Serie A,2021/2022,78.5
US Salernitana 1919,Serie A,2021/2022,70.56
SSC Napoli,Serie A,2022/2023,654.08
Inter Milan,Serie A,2022/2023,567.55
AC Milan,Serie A,2022/2023,545.1
Juventus FC,Serie A,2022/2023,483.13
AS Roma,Serie A,2022/2023,361.38
Atalanta BC,Serie A,2022/2023,338.38
SS Lazio,Serie A,2022/2023,266.43
ACF Fiorentina,Serie A,2022/2023,258.8
US Sassuolo,Serie A,2022/2023,232.2
Torino FC,Serie A,2022/2023,197.19
Udinese Calcio,Serie A,2022/2023,188.86
Bologna FC 1909,Serie A,2022/2023,153.63
AC Monza,Serie A,2022/2023,135.7
FC Empoli,Serie A,2022/2023,125.53
Hellas Verona,Serie A,2022/2023,123.89
US Salernitana 1919,Serie A,2022/2023,118.35
Spezia Calcio,Serie A,2022/2023,115.81
US Lecce,Serie A,2022/2023,105.2
US Cremonese,Serie A,2022/2023,83.78
UC Sampdoria,Serie A,2022/2023,82.96
Inter Milan,Serie A,2023/2024,654.85
AC Milan,Serie A,2023/2024,571.41
SSC Napoli,Serie A,2023/2024,515.0
Juventus FC,Serie A,2023/2024,504.53
Atalanta BC,Serie A,2023/2024,436.05
Bologna FC 1909,Serie A,2023/2024,349.3
AS Roma,Serie A,2023/2024,340.4
ACF Fiorentina,Serie A,2023/2024,284.1
Torino FC,Serie A,2023/2024,232.73
SS Lazio,Serie A,2023/2024,225.45
Genoa CFC,Serie A,2023/2024,195.4
Udinese Calcio,Serie A,2023/2024,170.06
AC Monza,Serie A,2023/2024,143.43
Hellas Verona,Serie A,2023/2024,140.7
US Sassuolo,Serie A,2023/2024,139.54
Frosinone Calcio,Serie A,2023/2024,108.4
US Lecce,Serie A,2023/2024,107.73
FC Empoli,Serie A,2023/2024,102.33
US Salernitana 1919,Serie A,2023/2024,94.6
Cagliari Calcio,Serie A,2023/2024,92.23
Inter Milan,Serie A,2024/2025,741.85
Juventus FC,Serie A,2024/2025,628.73
AC Milan,Serie A,2024/2025,581.7
Atalanta BC,Serie A,2024/2025,501.2
SSC Napoli,Serie A,2024/2025,500.45
AS Roma,Serie A,2024/2025,390.3
ACF Fiorentina,Serie A,2024/2025,368.13
Bologna FC 1909,Serie A,2024/2025,340.65
SS Lazio,Serie A,2024/2025,294.9
Torino FC,Serie A,2024/2025,219.28
Como 1907,Serie A,2024/2025,203.43
Udinese Calcio,Serie A,2024/2025,198.9
Genoa CFC,Serie A,2024/2025,175.35
Parma Calcio 1913,Serie A,2024/2025,175.11
US Lecce,Serie A,2024/2025,113.43
Hellas Verona,Serie A,2024/2025,107.35
FC Empoli,Serie A,2024/2025,106.58
AC Monza,Serie A,2024/2025,95.83
Venezia FC,Serie A,2024/2025,95.6
Cagliari Calcio,Serie A,2024/2025,93.63
Paris Saint-Germain,Ligue 1,2019/2020,874.15
Olympique Lyon,Ligue 1,2019/2020,384.55
AS Monaco,Ligue 1,2019/2020,331.03
LOSC Lille,Ligue 1,2019/2020,247.78
Olympique Marseille,Ligue 1,2019/2020,216.15
OGC Nice,Ligue 1,2019/2020,173.45
Stade Rennais FC,Ligue 1,2019/2020,171.88
FC Girondins Bordeaux,Ligue 1,2019/2020,125.35
FC Nantes,Ligue 1,2019/2020,106.15
AS Saint-Étienne,Ligue 1,2019/2020,104.83
RC Strasbourg Alsace,Ligue 1,2019/2020,91.13
Angers SCO,Ligue 1,2019/2020,89.48
Montpellier HSC,Ligue 1,2019/2020,81.68
Stade Reims,Ligue 1,2019/2020,81.68
FC Toulouse,Ligue 1,2019/2020,71.88
Amiens SC,Ligue 1,2019/2020,61.93
FC Metz,Ligue 1,2019/2020,54.1
Dijon FCO,Ligue 1,2019/2020,50.23
Nîmes Olympique,Ligue 1,2019/2020,49.65
Stade Brestois 29,Ligue 1,2019/2020,47.78
Paris Saint-Germain,Ligue 1,2020/2021,805.0
Olympique Lyon,Ligue 1,2020/2021,431.35
AS Monaco,Ligue 1,2020/2021,370.35
LOSC Lille,Ligue 1,2020/2021,323.2
Stade Rennais FC,Ligue 1,2020/2021,297.5
Olympique Marseille,Ligue 1,2020/2021,247.95
OGC Nice,Ligue 1,2020/2021,236.1
AS Saint-Étienne,Ligue 1,2020/2021,154.5
Montpellier HSC,Ligue 1,2020/2021,113.85
Angers SCO,Ligue 1,2020/2021,111.65
RC Strasbourg Alsace,Ligue 1,2020/2021,109.65
FC Girondins Bordeaux,Ligue 1,2020/2021,105.7
Stade Reims,Ligue 1,2020/2021,105.18
RC Lens,Ligue 1,2020/2021,104.3
FC Metz,Ligue 1,2020/2021,103.5
Stade Brestois 29,Ligue 1,2020/2021,103.23
FC Nantes,Ligue 1,2020/2021,94.75
FC Lorient,Ligue 1,2020/2021,72.88
Dijon FCO,Ligue 1,2020/2021,65.63
Nîmes Olympique,Ligue 1,2020/2021,60.4
Paris Saint-Germain,Ligue 1,2021/2022,875.15
Olympique Lyon,Ligue 1,2021/2022,397.7
AS Monaco,Ligue 1,2021/2022,396.0
LOSC Lille,Ligue 1,2021/2022,306.88
Stade Rennais FC,Ligue 1,2021/2022,305.35
Olympique Marseille,Ligue 1,2021/2022,284.7
OGC Nice,Ligue 1,2021/2022,266.05
RC Lens,Ligue 1,2021/2022,154.05
Stade Reims,Ligue 1,2021/2022,149.4
Montpellier HSC,Ligue 1,2021/2022,144.6
RC Strasbourg Alsace,Ligue 1,2021/2022,120.05
FC Girondins Bordeaux,Ligue 1,2021/2022,116.85
FC Nantes,Ligue 1,2021/2022,112.65
AS Saint-Étienne,Ligue 1,2021/2022,105.65
Stade Brestois 29,Ligue 1,2021/2022,103.15
FC Metz,Ligue 1,2021/2022,91.05
Angers SCO,Ligue 1,2021/2022,89.5
ESTAC Troyes,Ligue 1,2021/2022,73.2
FC Lorient,Ligue 1,2021/2022,61.3
Clermont Foot 63,Ligue 1,2021/2022,55.1
Paris Saint-Germain,Ligue 1,2022/2023,891.1
Stade Rennais FC,Ligue 1,2022/2023,387.75
AS Monaco,Ligue 1,2022/2023,368.3
Olympique Lyon,Ligue 1,2022/2023,350.95
Olympique Marseille,Ligue 1,2022/2023,331.55
OGC Nice,Ligue 1,2022/2023,310.8
LOSC Lille,Ligue 1,2022/2023,247.95
RC Lens,Ligue 1,2022/2023,238.2
FC Lorient,Ligue 1,2022/2023,175.45
Stade Reims,Ligue 1,2022/2023,159.05
Montpellier HSC,Ligue 1,2022/2023,142.9
RC Strasbourg Alsace,Ligue 1,2022/2023,123.55
FC Nantes,Ligue 1,2022/2023,119.28
FC Toulouse,Ligue 1,2022/2023,104.8
Stade Brestois 29,Ligue 1,2022/2023,76.65
ESTAC Troyes,Ligue 1,2022/2023,76.3
Angers SCO,Ligue 1,2022/2023,71.8
AJ Auxerre,Ligue 1,2022/2023,54.8
Clermont Foot 63,Ligue 1,2022/2023,48.0
AC Ajaccio,Ligue 1,2022/2023,27.0
Paris Saint-Germain,Ligue 1,2023/2024,1.02
AS Monaco,Ligue 1,2023/2024,398.55
Stade Rennais FC,Ligue 1,2023/2024,375.35
LOSC Lille,Ligue 1,2023/2024,328.9
Olympique Marseille,Ligue 1,2023/2024,311.4
Olympique Lyon,Ligue 1,2023/2024,305.95
OGC Nice,Ligue 1,2023/2024,268.78
RC Lens,Ligue 1,2023/2024,205.6
RC Strasbourg Alsace,Ligue 1,2023/2024,157.7
Montpellier HSC,Ligue 1,2023/2024,145.58
FC Toulouse,Ligue 1,2023/2024,145.2
Stade Reims,Ligue 1,2023/2024,134.55
FC Lorient,Ligue 1,2023/2024,131.85
FC Nantes,Ligue 1,2023/2024,125.9
Stade Brestois 29,Ligue 1,2023/2024,115.15
Le Havre AC,Ligue 1,2023/2024,72.5
FC Metz,Ligue 1,2023/2024,65.4
Clermont Foot 63,Ligue 1,2023/2024,61.35
Paris Saint-Germain,Ligue 1,2024/2025,1.14
AS Monaco,Ligue 1,2024/2025,411.15
Olympique Marseille,Ligue 1,2024/2025,358.0
LOSC Lille,Ligue 1,2024/2025,336.6
Olympique Lyon,Ligue 1,2024/2025,309.85
RC Strasbourg Alsace,Ligue 1,2024/2025,307.85
Stade Rennais FC,Ligue 1,2024/2025,294.7
